############################## Ce: 5e-6 ########################
2026-03-26 10:06 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 1000 eV-----grid 1-------#
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 69.872 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 31 running 70.038 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 35 running 70.054 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.867 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 70.026 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 70.087 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 32 running 70.044 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - Found defect.txt in 33 running 70.078 ps.
2026-03-26 10:17 - ml4cascades.lammps.process - INFO - #------------Processing 32 files------------#

2026-03-26 10:19 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 5000 eV------grid 16------#
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 70.072 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.935 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 70.01 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 69.861 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 69.964 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 69.801 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 70.083 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 69.863 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 70.079 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 70.097 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 69.857 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 69.935 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 70.006 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 70.049 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 69.869 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 70.078 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 69.827 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 69.981 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 69.983 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 70.076 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 69.917 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 69.821 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 69.99 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 31 running 70.039 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 33 running 70.059 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 35 running 69.999 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 69.851 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 69.81 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 69.922 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.879 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 69.94 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 70.008 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 70.078 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - Found defect.txt in 34 running 69.81 ps.
2026-03-26 10:19 - ml4cascades.lammps.process - INFO - #------------Processing 34 files------------#

2026-03-26 10:20 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 10000 eV-----grid 1-------#
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 44.916 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 44.885 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 44.822 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 45.057 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 44.976 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 44.849 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 45.018 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 44.883 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 44.995 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 45.004 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 45.02 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 44.925 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 44.967 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 45.097 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 44.864 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 45.092 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 45.031 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 44.998 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 44.846 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 44.92 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 45.083 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 44.862 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 44.903 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 44.858 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 45.03 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 44.94 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 44.82 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 45.035 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 44.984 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 45.048 ps.
2026-03-26 10:20 - ml4cascades.lammps.process - INFO - #------------Processing 30 files------------#

2026-03-26 10:21 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 10000 eV-----grid 16-------#
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 44.908 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 44.863 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 45.035 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 45.012 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 44.843 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 44.98 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 44.86 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 44.881 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 44.827 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 45.1 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 45.068 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 45.054 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 44.906 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 45.001 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 44.986 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 44.829 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 44.864 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 44.824 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 44.803 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 45.094 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 45.086 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 44.888 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 44.819 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 44.95 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 44.872 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 44.923 ps.
2026-03-26 10:21 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 44.849 ps.
