2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 70.021 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 69.872 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 70.093 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 69.959 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 69.957 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 69.866 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 31 running 69.951 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 33 running 69.861 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - Found defect.txt in 35 running 69.845 ps.
2026-03-26 09:52 - ml4cascades.lammps.process - INFO - #------------Processing 29 files------------#

2026-03-26 09:53 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 5000 eV-----ecut 10eV-------#
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 69.819 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 69.953 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 69.8 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 69.88 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 69.977 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 70.053 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 70.036 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 69.888 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 70.038 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 69.828 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 69.994 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 69.973 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 69.913 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 69.828 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 69.915 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 69.993 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 69.812 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 69.954 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 70.001 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 70.009 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 69.91 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 69.941 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 70.041 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 70.012 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 70.011 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 29 running 69.985 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 69.988 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 31 running 69.906 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 33 running 69.993 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - Found defect.txt in 35 running 69.9 ps.
2026-03-26 09:53 - ml4cascades.lammps.process - INFO - #------------Processing 30 files------------#

2026-03-26 09:55 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 10000 eV-----ecut 1eV-------#
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 45.006 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 44.854 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 45.034 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 44.97 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 44.972 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 44.933 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 44.986 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 44.974 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 45.026 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 45.084 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 44.984 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 45.037 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 44.855 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 18 running 44.832 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 19 running 44.901 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 22 running 45.089 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 23 running 45.023 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 24 running 45.071 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 25 running 44.97 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 26 running 44.898 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 27 running 44.949 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 28 running 44.857 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 30 running 45.02 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 45.048 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 44.922 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 44.949 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 44.87 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 20 running 44.899 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - Found defect.txt in 21 running 45.012 ps.
2026-03-26 09:55 - ml4cascades.lammps.process - INFO - #------------Processing 29 files------------#

2026-03-26 09:56 - ml4cascades.lammps.process - INFO - #------------Average defect analysis, PKA_kin_eng: 10000 eV-----ecut 10eV-------#
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 1 running 44.975 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 2 running 44.823 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 3 running 45.061 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 44.989 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 44.976 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 45.036 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 8 running 44.862 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 44.94 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 45.075 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 44.946 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 45.034 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 44.856 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 44.959 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 44.982 ps.
2026-03-26 09:56 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 44.892 ps.
