2025-07-08 21:57 - ml4cascades.lammps - INFO - ------------------Cascade simulation for energy: 100 eV, supercell size: 7 --------------------
2025-07-08 23:05 - ml4cascades.lammps - INFO - PKA ID: 141042 with Velocities: -675.13, -417.32, -835.65 ang/ps
2025-07-08 23:05 - ml4cascades.lammps - INFO - PKA ID: 141043 with Velocities: -592.26, -417.92, -896.01 ang/ps
2025-07-08 23:05 - ml4cascades.lammps - INFO - PKA ID: 126651 with Velocities: -363.18, -392.21, -1021.05 ang/ps
2025-07-08 23:05 - ml4cascades.lammps - INFO - PKA ID: 133371 with Velocities: -478.17, -126.25, -1041.00 ang/ps
2025-07-08 23:05 - ml4cascades.lammps - INFO - PKA ID: 133132 with Velocities: -503.92, -8.93, -1036.46 ang/ps
2025-07-08 23:05 - ml4cascades.lammps - INFO - PKA ID: 134083 with Velocities: -466.26, -550.77, -898.62 ang/ps
2025-07-08 23:05 - ml4cascades.lammps - INFO - ------------------Cascade simulation for energy: 10000.0 eV, supercell size: 37 --------------------
2025-07-08 23:06 - ml4cascades.lammps - INFO - PKA ID: 235539 with Velocities: -481.68, -33.20, -1556.73 ang/ps
2025-07-08 23:06 - ml4cascades.lammps - INFO - PKA ID: 247366 with Velocities: -785.07, -497.98, -1338.74 ang/ps
2025-07-08 23:06 - ml4cascades.lammps - INFO - PKA ID: 225473 with Velocities: -329.20, -452.87, -1530.71 ang/ps
2025-07-08 23:06 - ml4cascades.lammps - INFO - PKA ID: 236419 with Velocities: -485.95, -570.04, -1447.56 ang/ps
2025-07-08 23:06 - ml4cascades.lammps - INFO - PKA ID: 224592 with Velocities: -452.49, -48.71, -1565.06 ang/ps
2025-07-08 23:07 - ml4cascades.lammps - INFO - PKA ID: 236419 with Velocities: -482.11, -581.40, -1444.33 ang/ps
2025-07-08 23:07 - ml4cascades.lammps - INFO - PKA ID: 246782 with Velocities: -768.09, -160.03, -1428.62 ang/ps
2025-07-08 23:07 - ml4cascades.lammps - INFO - PKA ID: 235839 with Velocities: -525.13, -237.12, -1524.65 ang/ps
2025-07-08 23:07 - ml4cascades.lammps - INFO - PKA ID: 269267 with Velocities: -965.75, -521.56, -1204.92 ang/ps
2025-07-08 23:07 - ml4cascades.lammps - INFO - PKA ID: 258317 with Velocities: -875.00, -507.18, -1278.15 ang/ps
2025-07-08 23:08 - ml4cascades.lammps - INFO - PKA ID: 258317 with Velocities: -947.14, -488.76, -1233.12 ang/ps
2025-07-08 23:08 - ml4cascades.lammps - INFO - PKA ID: 236124 with Velocities: -469.21, -416.82, -1504.20 ang/ps
2025-07-08 23:08 - ml4cascades.lammps - INFO - PKA ID: 258031 with Velocities: -891.83, -320.32, -1326.11 ang/ps
